Key,English,Hindi,Marathi,Telugu,Kannada
common.selectLanguage,Select Language,भाषा चुनें,भाषा निवडा,భాష ఎంచుకోండి,ಭಾಷೆ ಆಯ್ಕೆಮಾಡಿ
common.english,English,English,इंग्रजी,ఇంగ్లీష్,ಇಂಗ್ಲಿಷ್
common.hindi,Hindi,हिंदी,हिंदी,హిందీ,ಹಿಂದಿ
common.cancel,Cancel,रद्द करें,रद्द करा,రద్దు చేయండి,ರದ್ದುಮಾಡಿ
common.logout,Logout,लॉग आउट,लॉगआउट,లాగ్ అవుట్,ಲಾಗ್ ಔಟ್
common.login,Login,लॉग इन,लॉगिन,లాగిన్,ಲಾಗಿನ್
common.register,Register,पंजीकरण,नोंदणी करा,నమోదు చేయండి,ನೋಂದಣಿ ಮಾಡಿ
common.backToHub,Back to test hub,वापस जाएं,टेस्ट हबवर परत जा,టెస్ట్ హబ్‌కి తిరిగి వెళ్ళండి,ಟೆಸ್ಟ್ ಹಬ್‌ಗೆ ಹಿಂತಿರುಗಿ
common.consentNote,"By registering this child, you confirm that consent has been obtained as per your institution's policy and that assessments will be supervised by trained staff.",इस बच्चे को दर्ज करके आप पुष्टि करते हैं कि आपकी संस्था की नीति के अनुसार सहमति ली गई है और परीक्षण प्रशिक्षित कर्मचारियों की निगरानी में होगा।,"या मुलाची नोंदणी करून, तुम्ही पुष्टी करता की तुमच्या संस्थेच्या धोरणानुसार सहमती घेतली आहे आणि मूल्यांकन प्रशिक्षित कर्मचाऱ्यांच्या देखरेखीखाली केले जाईल.","ఈ పిల్లవాడిని నమోదు చేయడం ద్వారా, మీ సంస్థ విధానం ప్రకారం అనుమతి తీసుకున్నారని మరియు అసెస్‌మెంట్‌లు శిక్షణ పొందిన సిబ్బంది పర్యవేక్షణలో జరుగుతాయని మీరు నిర్ధారిస్తున్నారు.","ಈ ಮಗುವನ್ನು ನೋಂದಾಯಿಸುವ ಮೂಲಕ, ನಿಮ್ಮ ಸಂಸ್ಥೆಯ ನೀತಿಯ ಪ್ರಕಾರ ಒಪ್ಪಿಗೆ ಪಡೆಯಲಾಗಿದೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಗಳನ್ನು ತರಬೇತಿ ಪಡೆದ ಸಿಬ್ಬಂದಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡುತ್ತಾರೆ ಎಂದು ನೀವು ದೃಢೀಕರಿಸುತ್ತೀರಿ."
common.serverError,Error connecting to the server.,सर्वर से जुड़ने में दिक्कत हुई।,सर्व्हरशी कनेक्ट करताना त्रुटी आली.,సర్వర్‌తో కనెక్ట్ చేయడంలో పొరపాటు వచ్చింది.,ಸರ್ವರ್‌ಗೆ ಸಂಪರ್ಕಿಸುವಲ್ಲಿ ದೋಷ ಸಂಭವಿಸಿದೆ.
common.sessionError,Could not establish a secure session. Please try again.,सत्र शुरू नहीं हो सका। फिर कोशिश करें।,सुरक्षित सेशन सुरू करता आले नाही. कृपया पुन्हा प्रयत्न करा.,సురక్షిత సెషన్‌ను ప్రారంభించలేకపోయాం. దయచేసి మళ్లీ ప్రయత్నించండి.,ಸುರಕ್ಷಿತ ಸೆಶನ್ ಸ್ಥಾಪಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
