Key,English,Hindi,Marathi,Telugu,Kannada
common.selectLanguage,Select Language,भाषा चुनें,,,
common.english,English,English,,,
common.hindi,Hindi,हिंदी,,,
common.cancel,Cancel,रद्द करें,,,
common.logout,Logout,लॉग आउट,,,
common.login,Login,लॉग इन,,,
common.register,Register,पंजीकरण,,,
common.backToHub,Back to test hub,वापस जाएं,,,
common.consentNote,"By registering this child, you confirm that consent has been obtained as per your institution's policy and that assessments will be supervised by trained staff.",इस बच्चे को दर्ज करके आप पुष्टि करते हैं कि आपकी संस्था की नीति के अनुसार सहमति ली गई है और परीक्षण प्रशिक्षित कर्मचारियों की निगरानी में होगा।,,,
common.serverError,Error connecting to the server.,सर्वर से जुड़ने में दिक्कत हुई।,,,
common.sessionError,Could not establish a secure session. Please try again.,सत्र शुरू नहीं हो सका। फिर कोशिश करें।,,,
common.speechNotSupported,Your browser does not support Speech Recognition. Please type manually.,यह ब्राउज़र आवाज़ पहचान नहीं करता। कृपया टाइप करें।,,,
common.failedToStart,Failed to start session on server.,सत्र शुरू नहीं हो सका।,,,
common.failedToSave,Failed to save assessment. Please try again.,मूल्यांकन सहेजा नहीं गया। फिर कोशिश करें।,,,
common.enterReason,Please enter a reason before stopping.,रोकने का कारण लिखें।,,,
navbar.id,ID,आईडी,,,
navbar.language,🌐 Language,🌐 भाषा,,,
footer.copyright,© 2026 Community Empowerment Lab · Sangian Cognitive Test Interface,© 2026 कम्युनिटी एम्पावरमेंट लैब · संगियान परीक्षण इंटरफ़ेस,,,
footer.terms,Terms & Conditions,नियम और शर्तें,,,
footer.privacy,Privacy Policy,गोपनीयता नीति,,,
footer.contact,Contact Us,संपर्क करें,,,
footer.help,Help & Support,सहायता,,,
breadcrumb.home,Home,होम,,,
breadcrumb.terms,Terms & Conditions,नियम एवं शर्तें,,,
breadcrumb.privacy,Privacy Policy,गोपनीयता नीति,,,
home.heroPill,🧠 Kauffman-inspired assessment • For supervised use only,🧠 काफ़मैन-प्रेरित मूल्यांकन • केवल निगरानी में उपयोग करें,,,
home.welcome,Welcome to the,में आपका स्वागत है,,,
home.title,Sangian Test Hub,संगियान टेस्ट हब,,,
home.desc,Select a test module below to start the assessment.,परीक्षा शुरू करने के लिए नीचे दिए गए टेस्ट मॉड्यूल को चुनें।,,,
home.bullet1,✔ Seven core games mapped to culturally adapted names,✔ सात मुख्य खेल जो बच्चे की समझ को मापते हैं,,,
home.bullet2,✔ Quick access to Numeracy & Literacy readiness checks,✔ गणित और भाषा की तैयारी की त्वरित जाँच,,,
home.bullet3,"✔ Designed for psychologists, teachers & researchers","✔ मनोवैज्ञानिकों, शिक्षकों और शोधकर्ताओं के लिए बनाया गया",,,
home.startTest,Start Assessment,परीक्षा शुरू करें,,,
home.registerChild,Register a Child,बच्चे को दर्ज करें,,,
home.warningNote,This digital interface supports structured KABC-style assessments. Always follow your institutional protocol and training.,यह इंटरफ़ेस KABC-शैली की संरचित परीक्षा के लिए है। कृपया अपनी संस्था के दिशा-निर्देशों का पालन करें।,,,
home.modulesHeader,Test Modules,टेस्ट मॉड्यूल,,,
home.modulesSub,Tap a card to see what the test measures.,कार्ड पर टैप करें और देखें यह टेस्ट क्या मापता है।,,,
home.modulesBadge,modules,मॉड्यूल,,,
home.lastPlayed,Last Played:,आखिरी बार खेला:,,,
home.totalSessions,Total Sessions:,कुल सत्र:,,,
home.never,Never,कभी नहीं,,,
home.games.bagiya.title,Bagiya,बगिया,,,
home.games.bagiya.local,,,,,
home.games.bagiya.tag,,,,,
home.games.bagiya.desc,Child looks at a set of fun creatures in a 'garden' and later tries to remember where each one was placed.,बच्चा एक बगीचे में जीव-जंतु देखता है और याद करने की कोशिश करता है कि हर एक कहाँ था।,,,
home.games.bagiya.sub,,,,,
home.games.lottery.title,Lottery Ka Ticket,लॉटरी का टिकट,,,
home.games.lottery.local,,,,,
home.games.lottery.tag,,,,,
home.games.lottery.desc,Child listens to a series of numbers and repeats them in the same order.,बच्चा संख्याओं की एक कड़ी सुनता है और उन्हें उसी क्रम में दोहराता है।,,,
home.games.lottery.sub,,,,,
home.games.mela.title,Chalo Mela Chalen,चलो मेला चलें,,,
home.games.mela.local,,,,,
home.games.mela.tag,,,,,
home.games.mela.desc,Child plans a path through simple visual mazes.,बच्चा सरल नक्शे के ज़रिए रास्ता खोजता है।,,,
home.games.mela.sub,,योजना बनाना और स्थान की समझ,,,
home.games.rachna.title,Rachna,रचना,,,
home.games.rachna.local,,,,,
home.games.rachna.tag,Construction skills,बनाने की क्षमता,,,
home.games.rachna.desc,Child builds shapes and patterns using pieces.,बच्चा टुकड़ों से आकृति और पैटर्न बनाता है।,,,
home.games.rachna.sub,,दृश्य निर्माण कौशल,,,
home.games.dhyan.title,Dhyan Kahan Hai,ध्यान कहाँ है,,,
home.games.dhyan.local,,,,,
home.games.dhyan.tag,,,,,
home.games.dhyan.desc,Child responds only when they hear specific target words.,बच्चा सिर्फ़ तब जवाब देता है जब वह खास शब्द सुनता है।,,,
home.games.dhyan.sub,,,,,
home.games.herpher.title,Her Pher,हेर फेर,,,
home.games.herpher.local,,,,,
home.games.herpher.tag,,याददाश्त,,,
home.games.herpher.desc,Child keeps rules or information in mind while answering.,बच्चा जवाब देते समय नियमों या जानकारी को ध्यान में रखता है।,,,
home.games.herpher.sub,,,,,
home.games.chor.title,Chor Machaye Shor,चोर मचाए शोर,,,
home.games.chor.local,,,,,
home.games.chor.tag,Rule switching,नियम बदलना,,,
home.games.chor.desc,Child shifts between changing rules.,बच्चा बदलते नियमों के बीच ध्यान से काम करता है।,,,
home.games.chor.sub,,,,,
home.games.numeracy.title,Ankganit,अंकगणित,,,
home.games.numeracy.local,,,,,
home.games.numeracy.tag,,पढ़ाई – गणित,,,
home.games.numeracy.desc,Age-appropriate tasks on counting and mathematics.,गिनती और गणित के उम्र के हिसाब से सवाल।,,,
home.games.numeracy.sub,,,,,
home.games.literacy.title,Padh ke batao,पढ़ के बताओ,,,
home.games.literacy.local,,,,,
home.games.literacy.tag,,पढ़ाई – भाषा,,,
home.games.literacy.desc,Tasks around letters and early language readiness.,अक्षर और शुरुआती भाषा से जुड़े सवाल।,,,
home.games.literacy.sub,,,,,
login.pill,Child lookup for assessment,बच्चे की जानकारी देखें,,,
login.heading,Search a child,बच्चे को खोजें,,,
login.headingSub,and start the assessment,और परीक्षा शुरू करें,,,
login.description,"Use the unique Child ID to quickly bring up the child's details. Once you confirm the record, you can continue to the assessment.",बच्चे की खास ID डालें और उसकी जानकारी देखें। जाँचने के बाद परीक्षा शुरू करें।,,,
login.bullet1,Enter the Child ID assigned at registration,पंजीकरण के समय दी गई ID डालें,,,
login.bullet2,"Verify name, gender, date of birth & mobile number","नाम, लिंग, जन्म तिथि और मोबाइल नंबर जाँचें",,,
login.bullet3,Click 'Go to Assessment' to launch the test,'परीक्षा शुरू करें' दबाएं और टेस्ट खोलें,,,
login.demoTip,Demo tip: register a Child ID first before searching.,"सुझाव: पहले बच्चे को दर्ज करें, फिर यहाँ ID से खोजें।",,,
login.fieldLabel,Child ID,बच्चे की ID,,,
login.placeholder,"Enter Child ID (e.g., CH001)",बच्चे की ID डालें (जैसे: CH001),,,
login.searchBtn,Search,खोजें,,,
login.searchingBtn,Searching...,खोज रहे हैं...,,,
login.goToAssessment,Go to Assessment,परीक्षा शुरू करें,,,
login.cardTitle,Child details,बच्चे की जानकारी,,,
login.noChild,No child selected,कोई बच्चा नहीं चुना,,,
login.detailsFound,Details found. Please verify before proceeding.,जानकारी मिली। आगे बढ़ने से पहले जाँच लें।,,,
login.labelName,Name,नाम,,,
login.labelGender,Gender,लिंग,,,
login.labelDob,Date of Birth,जन्म तिथि,,,
login.labelMobile,Mobile Number,मोबाइल नंबर,,,
login.errRequired,Please enter a Child ID.,कृपया बच्चे की ID डालें।,,,
login.errNotFound,Child ID not found. Please register the child first.,यह ID नहीं मिली। पहले बच्चे को दर्ज करें।,,,
login.errServer,Error connecting to the server.,सर्वर से कनेक्ट करने में त्रुटि।,,,
login.errSession,Could not start session. Please try again.,सत्र शुरू नहीं हो सका। फिर कोशिश करें।,,,
register.pill,Child registration module,बच्चे का पंजीकरण,,,
register.heading,Register the child,बच्चे को दर्ज करें,,,
register.headingSub,for Sangian assessment,संगियान परीक्षा के लिए,,,
register.description,Enter the details of the child whose cognitive assessment will be done using the Sangian test modules.,यहाँ उस बच्चे की जानकारी भरें जिसका संगियान टेस्ट होगा। यह जानकारी बच्चे की पहचान और उसकी प्रगति को जोड़ने में मदद करती है।,,,
register.bullet1,Use the child's full official name wherever possible,बच्चे का पूरा और सही नाम लिखें,,,
register.bullet2,Confirm date of birth with records before starting,रिकॉर्ड से मिलाकर जन्म तिथि भरें,,,
register.bullet3,Mobile number can be parent / guardian's primary contact,मोबाइल नंबर माता-पिता या अभिभावक का हो सकता है,,,
register.photoLabel,Child Photo,बच्चे की फ़ोटो,,,
register.nameLabel,Child's Full Name,बच्चे का पूरा नाम,,,
register.namePlaceholder,Enter child's full name,बच्चे का पूरा नाम लिखें,,,
register.dobLabel,Date of Birth,जन्म तिथि,,,
register.genderLabel,Gender,लिंग,,,
register.genderDefault,Select gender,लिंग चुनें,,,
register.genderFemale,Female,लड़की,,,
register.genderMale,Male,लड़का,,,
register.genderOther,Other,अन्य,,,
register.genderPrefer,Prefer not to say,बताना नहीं चाहते,,,
register.mobileLabel,Mobile Number,मोबाइल नंबर,,,
register.mobilePlaceholder,Parent / guardian 10-digit mobile number,माता-पिता या अभिभावक का 10 अंकों का नंबर,,,
register.mobileHint,Use a valid 10-digit mobile number (India).,भारत का सही 10 अंकों का मोबाइल नंबर डालें।,,,
register.submitBtn,Register Child,दर्ज करें,,,
register.submittingBtn,Registering...,दर्ज हो रहा है...,,,
register.successMsg,Child registered successfully! Child ID: {id},बच्चे का पंजीकरण हो गया! बच्चे की ID: {id},,,
register.errName,Child's name is required.,बच्चे का नाम ज़रूरी है।,,,
register.errDobRequired,Date of Birth is required.,जन्म तिथि ज़रूरी है।,,,
register.errDobAge,Child's age must be between 8 and 10 years.,बच्चे की उम्र 8 से 10 साल के बीच होनी चाहिए।,,,
register.errGender,Please select a gender.,कृपया लिंग चुनें।,,,
register.errMobileRequired,Mobile number is required.,मोबाइल नंबर ज़रूरी है।,,,
register.errMobileInvalid,Enter a valid 10-digit mobile number.,सही 10 अंकों का मोबाइल नंबर डालें।,,,
register.errGeneral,An error occurred during registration. Please try again.,पंजीकरण में दिक्कत हुई। फिर कोशिश करें।,,,
game.numeracyLabel,Ankganit,अंकगणित,,,
game.childId,Child ID,बच्चे की ID,,,
game.score,Score,अंक,,,
game.attemptLabel,Attempt #,प्रयास #,,,
game.pauseQuit,Pause/Quit,रोकें / छोड़ें,,,
game.splashSubtitle,"Listen to the instructions, then start the assessment.","निर्देश सुनें, फिर परीक्षा शुरू करें।",,,
game.welcome,Welcome to Ankganit,"अंकगणित, में आपका स्वागत है",,,
game.splashDesc,"Please listen to the instructions. When the audio finishes, you can start the assessment.",कृपया निर्देश सुनें। ऑडियो खत्म होने के बाद 'अभी शुरू करें' बटन चालू हो जाएगा।,,,
game.startNow,Start Now,अभी शुरू करें,,,
game.replayAudio,Replay Audio,दोबारा सुनें,,,
game.audioNote,"The audio will play automatically. Once it ends, the Start Now button will become active.",ऑडियो अपने आप चलेगा। खत्म होने पर 'अभी शुरू करें' का बटन चालू होगा।,,,
game.question,Question,सवाल,,,
game.of,of,में से,,,
game.category,Category,वर्ग,,,
game.catSingle,Single Number,एक अंक,,,
game.catDouble,Double Number,दो अंक,,,
game.catSub,Subtraction,घटाव,,,
game.catDiv,Division,भाग,,,
game.timer,Timer,समय,,,
game.correct,Correct,सही,,,
game.incorrect,Incorrect,गलत,,,
game.quotient,Quotient,भागफल,,,
game.remainder,Remainder,शेषफल,,,
game.answer,Answer,उत्तर,,,
game.submitAnswer,Submit Answer,उत्तर जमा करें,,,
game.clear,Clear,मिटाएं,,,
game.assessmentComplete,Assessment Report,मूल्यांकन रिपोर्ट,,,
game.assessmentTerminated,Assessment Terminated,परीक्षण समाप्त,,,
game.allQuestionsCompleted,All questions completed,सभी सवाल पूरे हुए,,,
game.finalResults,Final Results,अंतिम परिणाम,,,
game.welcomeBagiya,Welcome to Bagiya,"बगिया, में आपका स्वागत है",,,
game.welcomeLottery,Welcome to Lottery Ka Ticket,"लॉटरी का टिकट, में आपका स्वागत है",,,
game.welcomeMela,Welcome to Chalo Mela Chalen,"चलो मेला चलें, में आपका स्वागत है",,,
game.welcomeDhyan,Welcome to Dhyan Kahan Hai,"ध्यान कहाँ है, में आपका स्वागत है",,,
game.welcomeHerPher,Welcome to Her Pher,"हेर फेर, में आपका स्वागत है",,,
game.welcomeRachna,Welcome to Rachna,"रचना, में आपका स्वागत है",,,
game.welcomeChor,Welcome to Chor Machaye Shor,"चोर मचाए शोर, में आपका स्वागत है",,,
game.notScored,Not Scored,अंक नहीं,,,
game.practiceLabel,Practice,अभ्यास,,,
game.scoredLabel,Scored,अंकित,,,
game.replayBtn,🔊 Replay Audio,🔊 दोबारा सुनें,,,
game.practiceQuestion,Practice · Question,अभ्यास · सवाल,,,
game.practiceResponse,Practice · Response,अभ्यास · जवाब,,,
game.tryAgain,Try Again,फिर से कोशिश करें,,,
game.startMainGame,Start Main Game,मुख्य खेल शुरू करें,,,
game.responseLabel,Response,जवाब,,,
game.subQuestion,Sub-question,उप-सवाल,,,
game.allAnswered,All questions answered!,सभी सवालों के जवाब दे दिए!,,,
game.nextQuestionArrow,Next Question →,अगला सवाल →,,,
game.nextScreenArrow,Next Screen →,अगली स्क्रीन →,,,
game.finishGame,Finish Game,खेल खत्म करें,,,
game.validationRequired,This field is required. Please select an option.,यह ज़रूरी है। कोई विकल्प चुनें।,,,
game.validationQ5,Please select at least one observed behaviour.,कृपया कम से कम एक व्यवहार चुनें।,,,
game.sampleQuestionA,Sample Question A,नमूना सवाल क,,,
game.sampleQuestionLabel,Sample Question,नमूना सवाल,,,
game.listenInstructions,Listen to the instructions carefully,निर्देश ध्यान से सुनें,,,
game.listenRemember,Listen & Remember,सुनें और याद रखें,,,
game.listeningLabel,🔊 Listening…,🔊 सुन रहे हैं…,,,
game.correctFeedback,✅ Correct!,✅ सही!,,,
game.incorrectFeedback,❌ Not quite. Listen to the correct sequence again.,❌ सही नहीं। सही क्रम फिर से सुनें।,,,
game.sampleRound,Sample Round,अभ्यास दौर,,,
game.timerLabel,⏱ Timer:,⏱ समय:,,,
game.outstandingMemory,Outstanding performance! You're a memory star! ⭐,बहुत बढ़िया! आप याददाश्त के सितारे हैं! ⭐,,,
game.outstandingRachna,Outstanding performance! 🌟,बहुत बढ़िया! 🌟,,,
game.sessionDropped,Session Dropped (Clinical Rule),सत्र समाप्त (नियम के अनुसार),,,
game.sessionTerminated,Session Terminated,सत्र समाप्त,,,
game.assessmentCompleted2,Assessment Completed,परीक्षा पूरी हुई,,,
game.retakeBtn,↺ Retake,↺ दोबारा करें,,,
game.replayShort,↻ Replay,↻ दोबारा,,,
game.stopBtn,■ Stop,■ रोकें,,,
game.doneBtn,↻ Done,↻ हो गया,,,
game.targetPattern,Target Pattern,लक्ष्य पैटर्न,,,
game.buildThis,Build this,यह बनाएं,,,
game.workspaceLabel,Workspace,कार्यक्षेत्र,,,
game.dropShapes,Drop shapes here to build the pattern,पैटर्न बनाने के लिए आकृतियाँ यहाँ रखें,,,
game.sourceShapes,Source Shapes,आकृति चुनें,,,
game.dragToWorkspace,Drag to workspace,कार्यक्षेत्र पर खींचें,,,
game.correctFeedbackChor,✔ Correct!,✔ सही!,,,
game.incorrectFeedbackChor,✖ Try again. Observe carefully.,✖ फिर से कोशिश करें। ध्यान से देखें।,,,
game.foundPattern,✅ Great! You found the pattern,✅ बहुत अच्छे! पैटर्न मिल गया,,,
game.phase1Complete,Phase 1 Completed! Click Phase 2 to continue.,चरण 1 पूरा! चरण 2 के लिए क्लिक करें।,,,
game.trial2Label,🔄 Trial 2,🔄 दूसरा प्रयास,,,
game.totalMoves,Total Moves,कुल चालें,,,
game.detailedBreakdown,Detailed Question Breakdown,सवाल-दर-सवाल विवरण,,,
game.movesLabel,Moves,चालें,,,
game.sNo,S. No,क्र.सं.,,,
